gene_id,HaplotypingProbability,ReadCount_1,TPM_1,ReadCount_2,TPM_2,gene_type,aCount,bCount,Pan_Total,MAGE_Total,log_Pan_Total,log_MAGE_Total,ReadCount_diff
ENSG00000000419,1.0,386.2779441,44.35387245,386.2779441,44.35387245,protein_coding,0.0,0.0,772.5558882,0.0,9.595361717669116,0.0,0.0
ENSG00000000457,0.4,106.3083901,2.62384296,107.7754502,2.645193139,protein_coding,24.0,21.0,214.0838403,45.0,7.748755325903309,5.523561956057013,-1.46706009
ENSG00000000460,0.296296296,57.7037901,3.984982036,57.72096239,3.985409515,protein_coding,125.0,162.0,115.4247525,287.0,6.863254005002305,8.169925001442312,-0.017172286
ENSG00000000938,1.0,729.686452,34.028064,729.686452,34.028064,protein_coding,0.0,0.0,1459.372904,0.0,10.512121090793839,0.0,0.0
ENSG00000001036,1.0,0.0,0.0,0.0,0.0,protein_coding,167.0,189.0,0.0,356.0,0.0,8.479780264029099,0.0
ENSG00000001084,0.423076923,126.5054889,4.041895612,73.47865736,1.941897775,protein_coding,15.0,10.0,199.9841462,25.0,7.65093789465801,4.700439718141092,53.02683154
ENSG00000001167,1.0,263.23786,8.773008,282.63139,9.2640235,protein_coding,0.0,1.0,545.86925,1.0,9.095052132619449,1.0,-19.39353
ENSG00000001460,0.044444444,19.43320704,0.914348214,13.56499409,0.54668702,protein_coding,12.0,10.0,32.99820113,22.0,5.087386509206677,4.523561956057013,5.868212946
ENSG00000001461,0.185185185,111.9592681,5.836581165,145.2759619,3.939935419,protein_coding,32.0,20.0,257.23523,52.0,8.012542024963317,5.727920454563199,-33.31669384
ENSG00000001497,0.6,357.2346718,13.52476902,355.7073018,13.49727275,protein_coding,0.0,0.0,712.9419736,0.0,9.479663012206386,0.0,1.52737001
ENSG00000001561,0.5,501.27706,10.1749491,606.71534,12.3151412,protein_coding,146.0,165.0,1107.9924,311.0,10.115033763308796,8.285402218862249,-105.43828
ENSG00000001617,0.018691589,0.384996775,0.011682552,1.615003199,0.049013254,protein_coding,1.0,0.0,1.999999974,1.0,1.584962488217799,1.0,-1.230006424
